,,error_angle_mean,error_angle_median,error_angle_25,error_angle_75,error_angle_95,error_angle_std,error_angle_S2,error_vgp_scatter,n_tot,N,n0,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers,total_simulations
62,0,12.000153900973727,11.053869146237332,7.080403002270714,15.792557864390304,24.16237669725146,6.664363410105662,188.40855233727208,10.063082204482932,10,2,5,20,30.0,0.0,0.4,G,,True,5001
63,0,2.067891913399528,1.9432629823934562,1.2575817877955302,2.775084803629067,4.09485306827057,1.0913143718130436,5.466905830217235,1.640689344495682,290,58,5,20,30.0,0.0,0.2,G,,True,5000
64,0,4.735011995496911,4.435403035808555,2.8625868656933733,6.247657214881585,9.221513037469947,2.4836370610615464,28.58755795796786,3.569515121288925,50,10,5,20,30.0,0.0,0.0,G,,True,5000
65,0,2.512654941877124,2.335327264008079,1.5283830739543767,3.3229049057340063,4.946947746974346,1.3356455857395864,8.097027197819035,3.073547298197682,280,56,5,20,30.0,0.0,0.5,G,,True,5000
66,0,3.714879504663606,3.4253520440897347,2.1644692652629054,4.970744318221698,7.469471384151064,2.0477930167759193,17.992947282478024,44.04832187721846,160,160,1,20,30.0,0.0,0.30000000000000004,G,,False,5000
67,0,4.339620954455641,4.038402236961375,2.546719872319944,5.758991755633598,8.683644961178794,2.34605325672433,24.33517511856064,57.975256326983335,290,290,1,20,30.0,0.0,0.5,G,,False,5000
68,0,3.215179039593469,2.9795181301280635,1.968316809979953,4.239827218047026,6.32607935108286,1.6889318907616806,13.18929669008668,4.014145524342395,200,40,5,20,30.0,0.0,0.6000000000000001,G,,True,5000
69,0,2.4775251872972004,2.3558500940335705,1.5009046607245402,3.2903913212375464,4.77080685115626,1.2748389657700203,7.763020399459873,35.632912293245695,270,270,1,20,30.0,0.0,0.2,G,,False,5000
70,0,6.045702589540534,5.589045279762388,3.5573591660744945,8.02731786485084,12.309624719802155,3.345463670818943,47.74040854851192,51.45908825672209,90,90,1,20,30.0,0.0,0.4,G,,False,5000
71,0,8.555166754282668,7.788294343262201,4.892275106319307,11.215592773630124,17.902773845566898,4.960565289274879,97.7931647411444,44.340354207566165,30,30,1,20,30.0,0.0,0.30000000000000004,G,,False,5000
72,0,2.1615028996983363,2.081799464405627,1.3554597289421473,2.8649266548605965,3.997309905436499,1.0671076913185455,5.810585866510536,25.435479062022527,260,260,1,20,30.0,0.0,0.1,G,,False,5000
73,0,3.271928458807346,3.0819941779888183,1.9293823519423192,4.364956863960174,6.487453589004631,1.7486099569589715,13.762541093773153,35.69543948572705,140,140,1,20,30.0,0.0,0.2,G,,False,5000
74,0,6.5592944013902885,6.135722636722214,3.9478515543756494,8.743678988654757,12.804187219665366,3.4824501219873136,55.14937640446901,5.4705041154549185,35,7,5,20,30.0,0.0,0.4,G,,True,5000
75,0,2.8501035506520984,2.652439772696262,1.7182136261966612,3.8053936523696095,5.6046227791473155,1.505470590809783,10.389078660892896,25.530189813734935,120,120,1,20,30.0,0.0,0.1,G,,False,5000
