,,error_angle_mean,error_angle_median,error_angle_25,error_angle_75,error_angle_95,error_angle_std,error_angle_S2,error_vgp_scatter,n_tot,N,n0,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers,total_simulations
0,0,3.507302961378132,3.3264834103557135,2.133586033739146,4.603670881547465,6.76246703734299,1.8039210671742847,15.553678213878724,2.244988461058545,84,14,6,50,30.0,0.0,0.0,G,,False,2000
1,0,1.824976295921877,1.7166607373155358,1.092269764491185,2.4577250200226324,3.515834111248111,0.9449360481869405,4.222996163772304,1.3193699744130942,140,70,2,50,30.0,0.0,0.0,G,,False,2000
2,0,2.75553120675224,2.596467063543706,1.6644627677241104,3.6660906361928944,5.281087963144607,1.4305370675110858,9.638365314757909,2.061391023438751,60,30,2,50,30.0,0.0,0.0,G,,False,2000
3,0,3.865201157962788,3.6900963480270264,2.3233715296670283,5.129322268599143,7.5790336400881015,2.0143984959797523,18.99555239147206,2.32709416427964,84,12,7,50,30.0,0.0,0.0,G,,False,2000
4,0,2.2316170448653136,2.061764974145298,1.3639323465298396,2.9492419583443024,4.35072591211923,1.1541251758069082,6.311453553904006,1.4345201120570639,180,36,5,50,30.0,0.0,0.0,G,,False,2000
5,0,1.457132038050224,1.3764938111855756,0.8954679915522199,1.943669134375213,2.830438430575894,0.7522543255167443,2.688837403285921,0.8607848524537709,440,88,5,50,30.0,0.0,0.0,G,,False,2000
6,0,3.4368015231789655,3.2092829910551686,2.119568843584439,4.542328727945545,6.640143709259334,1.7778940248864956,14.970931419870496,2.2763778891454747,64,16,4,50,30.0,0.0,0.0,G,,False,2000
7,0,2.8994201101565484,2.697077265106344,1.7591592567522483,3.885762538385219,5.65181874006898,1.5421966170201797,10.783818195525924,5.4977677970873975,36,36,1,50,30.0,0.0,0.0,G,,False,2000
8,0,1.6743671342164412,1.5546125581088504,0.9985670745863331,2.236945465314559,3.2363377966992855,0.8698821720298305,3.5598219458629052,1.0135484409506426,434,62,7,50,30.0,0.0,0.0,G,,False,2000
9,0,1.8498115594851339,1.7405742886427547,1.107118469112926,2.4926058409277374,3.5735161051963886,0.9616062249070602,4.346026994118941,1.1390209348042368,350,50,7,50,30.0,0.0,0.0,G,,False,2000
10,0,2.152493130739906,2.0277297219617054,1.2823567979745043,2.9029128167044966,4.198246096247603,1.1377735389073351,5.927108039407283,1.436613541494631,132,44,3,50,30.0,0.0,0.0,G,,False,2000
11,0,2.483895329617829,2.316940392324298,1.5271801993523155,3.230392943406727,4.912997111810687,1.2816179473453149,7.811459299173403,1.5281655043446511,180,30,6,50,30.0,0.0,0.0,G,,False,2000
12,0,4.1290612871044425,3.907315729483912,2.4751009549493617,5.510805791654203,8.090648898154148,2.164792907025207,21.73313227880609,2.883937081303681,36,12,3,50,30.0,0.0,0.0,G,,False,2000
13,0,3.818786514898169,3.477775572747383,2.331620284379202,5.116207774175823,7.528668244371735,2.0377385451994483,18.73343263577037,2.497845955414117,72,12,6,50,30.0,0.0,0.0,G,,False,2000
14,0,1.8747010123254297,1.7766475101396253,1.1313961206655172,2.503522247009421,3.6765022451501643,0.9868164864896406,4.487823760232747,5.389708049765935,90,90,1,50,30.0,0.0,0.0,G,,False,2000
15,0,7.419339255352506,6.95616978356729,4.425681796900609,9.856690927783642,14.739680632117308,3.9035323177464885,70.27654075942812,5.47553946950779,8,4,2,50,30.0,0.0,0.0,G,,False,2000
16,0,1.7977304404383334,1.6841102045936225,1.0552731403114848,2.4065499060057185,3.55884174288676,0.9624786886113693,4.157736779896649,1.1867924442407816,192,64,3,50,30.0,0.0,0.0,G,,False,2000
17,0,3.1291601703400818,2.873790677038656,1.960549581314769,4.145540595015955,6.052379593350718,1.6008757075935163,12.353165001290229,1.9607264066757066,126,18,7,50,30.0,0.0,0.0,G,,False,2000
18,0,2.1679856419379466,2.0146288909724603,1.284949257934759,2.8697850403263985,4.33174434213383,1.1571269445356525,6.03843503803662,5.422498967496327,64,64,1,50,30.0,0.0,0.0,G,,False,2000
19,0,1.6771503859322177,1.5773022853184813,1.039858776878269,2.214775458416465,3.240952988169856,0.8597170662084976,3.5515772942457677,1.0348655241000029,280,70,4,50,30.0,0.0,0.0,G,,False,2000
20,0,1.5150603403727305,1.4032603476730259,0.9161991040072728,2.0346699403046173,2.944017814382965,0.7956812036139858,2.9281998584660425,1.058517085191139,200,100,2,50,30.0,0.0,0.0,G,,False,2000
21,0,1.489957464345343,1.424628948426225,0.9076463513346411,1.9482790713277502,2.906999824741727,0.7595386249543918,2.7965837188946137,0.925651942063075,360,90,4,50,30.0,0.0,0.0,G,,False,2000
22,0,1.656637427161587,1.543268268685182,0.9777809751135287,2.2100108798075055,3.2709665641914367,0.8843211503336987,3.526080450051615,0.9870256396754699,462,66,7,50,30.0,0.0,0.0,G,,False,2000
23,0,2.4748676772224463,2.3183657364043455,1.4949573564747851,3.3232261268361754,4.772482476995839,1.3016490051469507,7.818413007294173,1.5546402344439239,168,28,6,50,30.0,0.0,0.0,G,,False,2000
24,0,9.601932267531721,8.819127318867153,5.934008788747658,12.797045111213215,19.060022149616117,5.082843894249685,118.0194876725515,7.061606930033051,10,2,5,50,30.0,0.0,0.0,G,,False,2000
25,0,3.349029385391817,3.182970668833029,1.992305866161324,4.443683614917052,6.490228210922495,1.7589214424950093,14.308255562766183,2.475362664819935,40,20,2,50,30.0,0.0,0.0,G,,False,2000
