,error_angle_mean,error_angle_median,error_angle_std,N,k,n,kappa_within_site,site_lat,outlier_rate,ignore_outliers,site_long
0,11.030380978177224,8.871478121426719,9.009992998320765,40,20,2,50,30,0.0,False,0
0,11.041054878966225,9.029315541743308,8.939312988994114,42,21,2,50,30,0.0,False,0
0,10.91730435774377,8.890654055743077,8.967813775157682,44,22,2,50,30,0.0,False,0
0,11.015844418426322,9.07529837974917,8.974260290785958,46,23,2,50,30,0.0,False,0
0,11.271622676925068,9.153699953274817,9.575782839069864,48,24,2,50,30,0.0,False,0
0,11.249815842664914,9.007532145587895,9.45110568591393,50,25,2,50,30,0.0,False,0
0,11.210227944403487,8.867956168563133,9.556936832148516,52,26,2,50,30,0.0,False,0
0,11.288612287775166,8.998190718068244,10.192384693578536,54,27,2,50,30,0.0,False,0
0,11.063825133278216,8.951621538782462,9.32439841761609,56,28,2,50,30,0.0,False,0
0,11.25273926445852,9.130201700304447,9.45193174674357,58,29,2,50,30,0.0,False,0
0,11.099094482501112,9.013151658152104,9.475681102465364,60,30,2,50,30,0.0,False,0
0,11.16487135978572,9.103032431760397,9.40836619552737,62,31,2,50,30,0.0,False,0
0,11.083363023575286,9.026815484393836,9.29347431574913,64,32,2,50,30,0.0,False,0
0,11.254651224037092,9.1192146156802,9.279498599880347,66,33,2,50,30,0.0,False,0
0,11.187621813181435,8.890478705543266,9.4328837483258,68,34,2,50,30,0.0,False,0
0,11.197408710209318,8.960922680709068,9.657097485830391,70,35,2,50,30,0.0,False,0
0,11.250769010067971,8.899688259036637,9.964004424745662,72,36,2,50,30,0.0,False,0
0,10.843623549534549,8.806513521533077,9.115472090619503,74,37,2,50,30,0.0,False,0
0,11.23762262777372,9.028949893357286,9.253490848421047,76,38,2,50,30,0.0,False,0
0,11.055115489475895,8.797136445723417,9.523927119025602,78,39,2,50,30,0.0,False,0
0,10.976384296927096,8.783155313819272,9.381551331079372,80,40,2,50,30,0.0,False,0
0,11.582748573300556,10.295275218646324,7.20446603976135,3,1,3,50,30,0.0,False,0
0,10.316251623904133,9.011944005389928,6.6850375309401,6,2,3,50,30,0.0,False,0
0,9.74724723426991,8.453171327749587,6.5672324391236,9,3,3,50,30,0.0,False,0
0,9.640335867067868,8.423421815546007,6.420171598390292,12,4,3,50,30,0.0,False,0
0,9.55870428725352,8.09739177682414,6.964407763350014,15,5,3,50,30,0.0,False,0
0,9.341146874627341,7.97386514261126,6.300982962472872,18,6,3,50,30,0.0,False,0
0,9.253556692838576,7.865854876219892,6.384492648472848,21,7,3,50,30,0.0,False,0
0,9.390660971205445,7.938049289470811,6.583590707641689,24,8,3,50,30,0.0,False,0
0,9.350691985350721,7.974795528097474,6.452042758305118,27,9,3,50,30,0.0,False,0
0,9.24743529832915,7.868475243966806,6.259918956614548,30,10,3,50,30,0.0,False,0
0,9.295306103159804,7.727511333712151,6.500347953106005,33,11,3,50,30,0.0,False,0
0,9.142866990811246,7.792140249994148,6.340946624746906,36,12,3,50,30,0.0,False,0
0,9.375684004608265,7.91995637467619,6.680182036681866,39,13,3,50,30,0.0,False,0
0,9.070203618305674,7.738475879028016,6.120675552834749,42,14,3,50,30,0.0,False,0
0,9.164792727448067,7.714529796221946,6.451030748662334,45,15,3,50,30,0.0,False,0
0,9.240503954615024,7.691985678312804,6.773172345879765,48,16,3,50,30,0.0,False,0
0,9.256424004160133,7.74680186387166,6.686799343551787,51,17,3,50,30,0.0,False,0
0,9.109632809642743,7.597356321631864,6.481587394954593,54,18,3,50,30,0.0,False,0
0,8.982166045012727,7.53534726456752,6.313075782637262,57,19,3,50,30,0.0,False,0
0,9.008054683115555,7.591380788274634,6.474043226619904,60,20,3,50,30,0.0,False,0
0,9.139416461936106,7.734168217490613,6.3934297808437375,63,21,3,50,30,0.0,False,0
0,9.19776751043407,7.758426609809575,6.394946791524191,66,22,3,50,30,0.0,False,0
0,9.201054952678179,7.770147857712772,6.519866053767436,69,23,3,50,30,0.0,False,0
