,plong,plat,total_samples,samples_per_sites,S2_vgp,error_angle,S2_vgp_real,n_tot,N,n0,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers
0,167.20311769566814,84.45041790412043,62.0,1,640.1992242054276,5.549582095879572,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
1,246.94719631292685,86.77143397794677,59.0,1,431.25105378312725,3.2285660220532293,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
2,63.866812803741524,88.58543667152477,48.0,1,213.84122632251066,1.414563328475225,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
3,224.21417078547196,87.84997162794662,51.0,1,189.20471887617947,2.1500283720533844,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
4,193.75466876730786,84.67689015176606,48.0,1,194.33727797466872,5.3231098482339405,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
5,249.34115936692908,89.78152745582929,52.0,1,192.6117320744573,0.21847254417070872,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
6,254.17134264283158,84.87206948965793,50.0,1,234.18753691118238,5.127930510342068,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
7,50.28248561858317,85.07643304134096,96.0,1,6726.313660026339,4.923566958659038,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
8,173.50597131565127,85.23552313109408,71.0,1,1247.3145232371166,4.764476868905916,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
9,184.17723478102275,85.78454679005445,53.0,1,237.2263543813672,4.215453209945551,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
10,69.50072078691716,84.88530432129656,73.0,1,1996.9492238488847,5.114695678703441,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
11,214.23252637296233,85.08969239197522,56.0,1,226.3609669972428,4.91030760802478,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
12,70.77366415383885,84.68073440512165,86.0,1,3201.8666966652927,5.319265594878345,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
13,142.94812773739147,87.48072763218858,53.0,1,272.78816107034385,2.519272367811425,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
14,149.64399793139629,81.9212690260035,57.0,1,400.2717022110479,8.0787309739965,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
15,169.6393117693371,82.0898160671929,65.0,1,1017.5693570201919,7.910183932807101,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
16,180.9083926342108,82.0933995107418,66.0,1,965.9923197277966,7.906600489258196,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
17,223.43140922252522,79.81668607204516,68.0,1,863.0420263376717,10.183313927954842,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
18,213.68659445671315,87.0124784061279,48.0,1,169.58972301740317,2.9875215938721027,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
19,177.19542409303833,87.21118715448083,50.0,1,150.5334130407983,2.7888128455191747,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
20,123.832022709921,85.4823815652674,90.0,1,4010.473752104834,4.517618434732597,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
21,209.61907718737726,87.20600928827551,49.0,1,186.35555524767116,2.79399071172449,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
22,270.23241568469666,87.51149907706096,92.0,1,4384.910262623322,2.488500922939039,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
23,79.6617407155476,81.47754050273598,79.0,1,2315.5524284937574,8.522459497264023,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
24,66.84387979166094,87.90367259160486,50.0,1,174.15275153750792,2.0963274083951404,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
25,195.8236232157577,83.38325173896823,51.0,1,166.29472339257813,6.616748261031773,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
26,154.79616116311055,77.4010326201126,83.0,1,3257.0797480251836,12.598967379887398,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
27,151.7989684425263,83.2898700581518,65.0,1,723.9887846642828,6.710129941848194,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
28,131.8109575041279,87.9331269202283,50.0,1,219.7644949191646,2.066873079771696,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
29,76.63757503773296,74.26462458929902,100.0,1,6707.922138768887,15.735375410700982,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
30,323.46484273271756,82.34177994850035,96.0,1,6078.260652031139,7.658220051499654,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
31,210.18557892760467,83.5451012546833,80.0,1,2943.000396800786,6.454898745316697,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
32,136.37315894663135,86.54979706767483,57.0,1,392.80201064695353,3.450202932325169,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
33,233.4234913447795,84.27163032854655,81.0,1,2647.091739845725,5.72836967145345,191.72290000000004,100,100,1,66.06998076240396,30,0,0.6,G,,vandamme
