,plong,plat,total_samples,samples_per_sites,S2_vgp,error_angle,S2_vgp_real,n_tot,N,n0,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers
0,92.65108482532341,87.38682041101585,63.0,1,217.7494671279002,2.6131795889841527,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
1,239.44205254040958,86.29925340339427,60.0,1,194.3767283668409,3.7007465966057254,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
2,208.47719041579376,87.20481494208498,64.0,1,259.71709362265847,2.7951850579150204,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
3,237.64822672665866,85.72699165498976,65.0,1,226.39948753106196,4.27300834501024,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
4,131.37967691165824,85.86796436838044,63.0,1,154.84000850349307,4.132035631619559,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
5,267.58344136670746,85.88854335134863,64.0,1,190.12309143394117,4.1114566486513695,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
6,255.26479341099852,88.61189733161025,58.0,1,208.978948566752,1.3881026683897488,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
7,151.60812792735854,85.8449402025698,66.0,1,209.8340112137053,4.155059797430198,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
8,63.95173077806699,88.62036895913525,62.0,1,185.7328927006101,1.3796310408647514,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
9,60.25999477370841,88.62435459441842,67.0,1,287.8457229220346,1.3756454055815794,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
10,117.00763789719657,87.76210657679508,66.0,1,227.44781205429902,2.2378934232049232,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
11,153.96374260972112,87.6458929603423,66.0,1,271.12559087890315,2.3541070396577055,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
12,111.45907656116633,87.14893455630873,62.0,1,143.91613601958036,2.851065443691269,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
13,278.0999310788234,87.51614516936468,67.0,1,245.30224575766002,2.483854830635323,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
14,237.86381514048355,88.85437635219859,74.0,1,295.16874038717714,1.1456236478014148,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
15,211.23267159438703,88.87085253732077,64.0,1,193.3255313036325,1.129147462679228,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
16,349.73995850753647,86.91350197966727,67.0,1,245.34933403453815,3.0864980203327264,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
17,97.57966782328651,88.14635223272165,60.0,1,273.8163442951736,1.8536477672783462,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
18,120.49488698086049,87.97358313086093,66.0,1,216.88782139950862,2.0264168691390694,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
19,209.3644705502476,88.14684198133796,70.0,1,319.3768664092449,1.853158018662043,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
20,222.1857631335401,88.9645499180459,62.0,1,210.10804974828025,1.035450081954096,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
21,231.38802648920876,88.44849329693949,62.0,1,205.6755148540394,1.551506703060511,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
22,70.30685040280555,88.93463943980615,66.0,1,169.36234785635529,1.0653605601938523,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
23,239.4023751007632,88.81026280459976,55.0,1,120.38505568376472,1.189737195400241,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
24,57.980694279888034,88.7969353254291,60.0,1,217.10968529496486,1.2030646745708964,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
25,216.7484135477218,86.73667087005961,68.0,1,323.9741804632308,3.263329129940388,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
26,64.4585029555999,88.8303225983928,62.0,1,190.78564553333808,1.1696774016072027,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
27,58.86728584615321,86.31105525894196,66.0,1,208.51478237774137,3.6889447410580374,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
28,102.55403905118138,88.06194599686377,66.0,1,247.96336425751798,1.93805400313623,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
29,245.39569553964213,88.96806148193204,65.0,1,269.27923641147095,1.0319385180679603,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
30,111.46537185635717,87.33009320087437,62.0,1,124.79983468910928,2.669906799125627,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
31,159.27774298555826,88.04743457543583,75.0,1,260.42951354922343,1.9525654245641704,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
32,145.26121931052862,89.22524697185456,63.0,1,171.71253990567217,0.7747530281454402,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
33,309.95566210512186,88.2141076969492,73.0,1,229.00478562630778,1.785892303050801,191.72290000000004,100,100,1,66.06998076240396,30,0,0.4,G,,vandamme
