,plong,plat,total_samples,samples_per_sites,error_angle
0,139.6182561097457,81.80318201074374,40.0,[1.],8.19681798925626
1,97.85601233995897,85.2598509809916,40.0,[1.],4.740149019008399
2,118.63169953729357,83.01438408551266,40.0,[1.],6.98561591448734
3,76.0838398059716,78.23775970202013,40.0,[1.],11.762240297979872
4,274.1763521752998,85.74175994603384,40.0,[1.],4.258240053966162
5,162.04940245901687,82.83602914739868,40.0,[1.],7.163970852601324
6,78.07568634083954,82.36931291008494,40.0,[1.],7.630687089915057
7,51.667420266818034,83.43404344519588,40.0,[1.],6.565956554804117
8,83.83097352128962,84.33567486118949,40.0,[1.],5.664325138810511
9,283.78094281274775,77.15968443901563,40.0,[1.],12.840315560984365
10,359.399902479394,84.79673393317633,40.0,[1.],5.203266066823673
11,181.84945050464898,84.66873057295419,40.0,[1.],5.331269427045811
12,327.160409013722,66.39185598463465,40.0,[1.],23.608144015365355
13,68.04718810445199,84.91715735860829,40.0,[1.],5.082842641391707
14,221.1831237986976,81.38866472559536,40.0,[1.],8.611335274404638
15,111.89772728655278,87.76499337786247,40.0,[1.],2.235006622137533
16,99.77772920097404,82.92884573799152,40.0,[1.],7.071154262008477
17,167.1778202123377,87.88834775577756,40.0,[1.],2.111652244222441
18,236.03751872940524,81.5423315345218,40.0,[1.],8.457668465478207
19,160.9075418448865,83.20116976400361,40.0,[1.],6.798830235996391
20,269.39893926152365,84.81955305098137,40.0,[1.],5.180446949018631
21,95.64466291045626,86.80703274396585,40.0,[1.],3.1929672560341515
22,31.242909652975438,85.4281211320106,40.0,[1.],4.571878867989398
23,23.559159041936546,81.20675855561186,40.0,[1.],8.793241444388144
24,319.921584095513,88.43317834098423,40.0,[1.],1.5668216590157726
25,292.75185261830933,86.8057374280521,40.0,[1.],3.1942625719479025
26,225.93345391666236,78.32632120483466,40.0,[1.],11.673678795165344
27,59.76350271779991,78.5370529093766,40.0,[1.],11.462947090623402
28,6.6914588403244855,81.90788844920749,40.0,[1.],8.09211155079251
29,305.9310690889037,69.79507502626767,40.0,[1.],20.204924973732332
30,235.1346679151872,79.28199589433987,40.0,[1.],10.718004105660128
31,189.68949843919913,83.6954265333165,40.0,[1.],6.304573466683493
32,64.49944411673025,87.54326003303106,40.0,[1.],2.4567399669689394
33,106.7216537020933,77.1741360577765,40.0,[1.],12.825863942223506
34,241.08948974455691,79.02507430621893,40.0,[1.],10.974925693781074
35,250.39912876924484,82.94125081275189,40.0,[1.],7.058749187248111
36,181.09195597535253,85.91223808282074,40.0,[1.],4.0877619171792645
37,330.7568298736607,83.17337899479264,40.0,[1.],6.8266210052073575
38,128.92073770068276,85.20199015709025,40.0,[1.],4.7980098429097495
39,86.4469488818761,78.23735747158713,40.0,[1.],11.762642528412869
40,43.98025523832348,84.87799538651542,40.0,[1.],5.122004613484577
41,180.21743265095117,83.72663459397641,40.0,[1.],6.273365406023586
42,223.70390104148169,87.70638019040916,40.0,[1.],2.2936198095908367
43,117.10619816318153,87.56355338534738,40.0,[1.],2.436446614652624
