,error_angle_mean,error_angle_median,error_angle_std,N,k,n,kappa_within_site,site_lat,outlier_rate,ignore_outliers,site_long
0,3.405351886780351,3.114680325778423,1.8667875699467,50,1,50,10.0,0,0.0,False,0
0,4.844221899985272,4.427022480163494,2.8289878679067058,50,5,10,10.0,0,0.0,True,0
0,3.7633202102177554,3.4509869368305814,2.039345445315727,50,1,50,10.0,0,0.05,False,0
0,4.9142453452673855,4.503174935376315,2.8385210361562896,50,5,10,10.0,0,0.05,True,0
0,4.148615446058737,3.80155087613457,2.3010805536878687,50,1,50,10.0,0,0.1,False,0
0,4.986521949527408,4.4982986689605795,2.8548777997727726,50,5,10,10.0,0,0.1,True,0
0,5.221654757544687,4.8059811224306515,2.918821192373171,50,1,50,10.0,0,0.2,False,0
0,5.171855479820233,4.741221333470023,2.9472043686712754,50,5,10,10.0,0,0.2,True,0
0,2.8344237801518966,2.6167362405613446,1.5277332467137996,50,1,50,16.68100537200059,0,0.0,False,0
0,4.5345818228335375,4.052759263190531,2.7528806294732706,50,5,10,16.68100537200059,0,0.0,True,0
0,3.2538997334012176,2.9571274835371923,1.800142500319527,50,1,50,16.68100537200059,0,0.05,False,0
0,4.56346420394025,4.088056053924802,2.686004458649848,50,5,10,16.68100537200059,0,0.05,True,0
0,3.61623718211869,3.3097873723391515,1.9739911720570669,50,1,50,16.68100537200059,0,0.1,False,0
0,4.629015173649379,4.179391138947473,2.729499997146654,50,5,10,16.68100537200059,0,0.1,True,0
0,4.6682788632730725,4.293455195424542,2.6303413010351195,50,1,50,16.68100537200059,0,0.2,False,0
0,4.652472125874533,4.198961979016886,2.683120030107759,50,5,10,16.68100537200059,0,0.2,True,0
0,2.400396142774261,2.2310728320349966,1.3092238361340933,50,1,50,27.825594022071243,0,0.0,False,0
0,4.3147847590038655,3.7994754660551564,2.6551976700716704,50,5,10,27.825594022071243,0,0.0,True,0
0,2.8466053964264093,2.5981509524214914,1.580930717270639,50,1,50,27.825594022071243,0,0.05,False,0
0,4.351830530557144,3.876309914057792,2.6464266689455855,50,5,10,27.825594022071243,0,0.05,True,0
0,3.2889751710255632,3.0477336927261973,1.8149786444505376,50,1,50,27.825594022071243,0,0.1,False,0
0,4.362395893961662,3.8643384895146795,2.6360680491382853,50,5,10,27.825594022071243,0,0.1,True,0
