,,error_angle_mean,error_angle_median,error_angle_25,error_angle_75,error_angle_95,error_angle_std,error_angle_S2,error_vgp_scatter,n_tot,N,n0,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers,total_simulations
10,0,5.684402092546266,5.304765464956219,3.424880201317478,7.7259111356256795,11.022592110019051,2.9630839455735525,41.08351375179157,3.5254486021854765,100,20,5,60,80,0.0,0.4999999999999999,G,,True,1000
11,0,3.143722328699373,2.9266590320910097,1.8746425946743948,4.107814264681878,6.355847896689214,1.6985626818358635,12.765220148904321,10.8705802780128,100,100,1,10,10,0.0,0.41999999999999993,G,,vandamme,1000
12,0,3.300646384316743,3.118941896963804,1.931333905828474,4.400817459421457,6.407845486621749,1.7413652544213527,13.923587150659824,2.6791854868961047,100,20,5,30,10,0.0,0.5799999999999998,G,,True,1000
13,0,2.73015345170611,2.6021255172845486,1.630416003336343,3.5930244130428335,5.203835918191013,1.403364526400528,9.421200431828206,1.7383955715244723,100,20,5,80,20,0.0,0.3,G,,True,1000
14,0,1.3787707878586124,1.3197038148502287,0.8575165659282789,1.8197580230628034,2.659547368654066,0.7053485763660768,2.3980279830197286,0.9457517355341449,100,100,1,100,0,0.0,0.3,G,,vandamme,1000
15,0,3.239766615113744,3.0908689458191674,1.9343188571955814,4.22323511107189,6.380111130323212,1.7072063130678254,13.407726562388822,2.0146781582010185,100,20,5,90,30,0.0,0.5399999999999998,G,,True,1000
16,0,1.6300326537891079,1.5174201364617446,0.9819717938016908,2.1418014042447453,3.239265256387263,0.8789150853789479,3.428725687998138,1.1948829630743985,100,100,1,100,20,0.0,0.33999999999999997,G,,vandamme,1000
17,0,1.6094959396419346,1.5128625994962448,0.995496102156725,2.139068715728129,3.0674451486208563,0.8432954129628137,3.3009131860944727,2.537717744399646,100,100,1,80,10,0.0,0.41999999999999993,G,,vandamme,1000
18,0,1.9921516877635117,1.826242724598579,1.1841723613802806,2.6811870925359003,3.9789148839139896,1.0739721879317978,5.1209311912495705,2.2482018524910505,100,100,1,60,30,0.0,0.3,G,,vandamme,1000
19,0,4.626312383366571,4.125034009818442,2.5930661037147047,6.129797576665958,9.815410003368152,2.7199249080557975,28.79335978244776,14.691922293527135,100,100,1,30,40,0.0,0.4999999999999999,G,,vandamme,1000
20,0,2.2679484307865816,2.0873497658548743,1.3911463362924756,2.9605462433057284,4.323993248667615,1.168115707453446,6.506719896400784,2.3819274263820183,100,100,1,90,30,0.0,0.4599999999999999,G,,vandamme,1000
21,0,3.0914128889431285,2.720887868282823,1.67728528276227,3.9492726288928495,6.604649095688617,2.08825244292767,13.91327111705169,8.227318169868322,100,100,1,100,50,0.0,0.4599999999999999,G,,vandamme,1000
22,0,3.7696760881649594,3.3737872149691412,2.0456923212998888,4.778678520884167,8.02884391269871,2.6306662047751437,21.123942085947782,14.01721301530541,100,100,1,40,30,0.0,0.5399999999999998,G,,vandamme,1000
23,0,8.445574740244352,7.825733942532267,5.167079885611038,11.049837387272945,16.619624598891622,4.393728921277471,90.6132816728899,7.30363690626515,100,20,5,10,70,0.0,0.6199999999999999,G,,True,1000
24,0,1.976378485012097,1.8140113484828788,1.1763061832123398,2.6931430552058444,4.023388104874757,1.1097502577968985,5.136386005064314,2.9889912806457715,100,100,1,30,0,0.0,0.4599999999999999,G,,vandamme,1000
25,0,2.9406874661470686,2.7001309678930525,1.7196573338356878,3.8179067124680195,5.802714086765531,1.603453211625684,11.216133913225313,4.3089167504592405,100,100,1,100,60,0.0,0.37999999999999995,G,,vandamme,1000
26,0,3.7055774285892884,3.4025475684224986,2.196573729484239,4.972323125869504,7.551724965177088,2.045833848266546,17.912554777848797,8.825291859104208,100,100,1,40,70,0.0,0.33999999999999997,G,,vandamme,1000
27,0,1.7796427015405114,1.6487732221879483,1.0903015394976592,2.381504512945412,3.4851782460296548,0.9392899849154672,4.048511555233145,1.3206296919817269,100,100,1,100,30,0.0,0.3,G,,vandamme,1000
28,0,2.9409595045223815,2.7467964345243345,1.789134287701831,3.83151852003574,5.760338553283728,1.5471893623020765,11.040643935138418,1.9147356420690933,100,20,5,80,20,0.0,0.5399999999999998,G,,True,1000
