,plong,plat,total_samples,samples_per_sites,error_angle
0,340.5903144187989,86.57412010102118,40.0,[1.],3.4258798989788204
1,26.219003991092944,89.69806643668963,40.0,[1.],0.3019335633103708
2,35.032090371094924,86.9380820347281,40.0,[1.],3.0619179652719026
3,14.694202057473133,87.06109102378997,40.0,[1.],2.9389089762100298
4,331.9329318115052,87.64428128653292,40.0,[1.],2.355718713467084
5,158.8993644320384,89.20058760426205,40.0,[1.],0.7994123957379458
6,20.559882399869604,84.80235664956624,40.0,[1.],5.197643350433765
7,335.2304447952185,88.05660536263863,40.0,[1.],1.943394637361365
8,257.9714026734188,87.07642960653281,40.0,[1.],2.9235703934671875
9,75.79674853435549,86.61886247694663,40.0,[1.],3.3811375230533685
10,299.4959662951125,87.96512068729508,40.0,[1.],2.0348793127049163
11,211.69273816023022,88.48743541630768,40.0,[1.],1.512564583692324
12,339.3511910381642,86.36420943853635,40.0,[1.],3.6357905614636508
13,73.65818966450308,82.06266261296807,40.0,[1.],7.937337387031931
14,321.09207266754066,87.24338298763232,40.0,[1.],2.756617012367684
15,39.13002028585005,85.29202469075926,40.0,[1.],4.707975309240737
16,72.62395885426376,88.08753609397506,40.0,[1.],1.9124639060249393
17,80.31720012340656,83.84415053935807,40.0,[1.],6.155849460641932
18,240.2330117922932,88.09950838224472,40.0,[1.],1.9004916177552786
19,247.9827242799558,86.97904898426171,40.0,[1.],3.020951015738291
20,315.1620136550314,87.06985322982915,40.0,[1.],2.9301467701708503
21,287.2825969714945,88.20165930238733,40.0,[1.],1.798340697612673
22,347.6105320003511,86.9585052704605,40.0,[1.],3.041494729539494
23,93.30517692745511,86.96756574635472,40.0,[1.],3.0324342536452775
24,352.59251118547206,85.8506621946482,40.0,[1.],4.149337805351806
25,18.560332579576688,85.77460841119635,40.0,[1.],4.225391588803646
26,326.04523331737687,87.18002335039047,40.0,[1.],2.8199766496095293
27,238.5595434424709,85.25157508648337,40.0,[1.],4.748424913516629
28,108.35624999210351,87.79470932796605,40.0,[1.],2.2052906720339536
29,322.38662189791955,85.34824459699408,40.0,[1.],4.651755403005922
30,317.7534972956229,87.45212404931264,40.0,[1.],2.547875950687356
31,117.26173217104963,88.41845922300558,40.0,[1.],1.5815407769944159
32,21.239314049632956,85.67709938971623,40.0,[1.],4.322900610283767
33,30.38770223265547,85.4212040049745,40.0,[1.],4.5787959950255015
34,172.511015198038,88.16228326420865,40.0,[1.],1.8377167357913464
35,95.99660909848724,87.78824769785331,40.0,[1.],2.2117523021466923
36,279.380554144968,86.00230692764302,40.0,[1.],3.997693072356981
37,326.78436803840884,89.45157252516118,40.0,[1.],0.5484274748388174
38,11.2266671300513,88.35630470767359,40.0,[1.],1.643695292326413
39,169.63329851280997,87.47962278048426,40.0,[1.],2.520377219515737
40,219.90909592814964,88.23921146811071,40.0,[1.],1.7607885318892897
41,198.9327991301044,87.97213716157721,40.0,[1.],2.0278628384227915
42,241.9178705977119,83.57057555674109,40.0,[1.],6.42942444325891
43,28.855860878698874,85.26916907138084,40.0,[1.],4.730830928619156
44,56.128035807181824,87.48200610356116,40.0,[1.],2.5179938964388384
45,183.94046371686716,87.51319420630412,40.0,[1.],2.486805793695879
46,330.0930710878536,85.62626307197237,40.0,[1.],4.3737369280276255
47,85.97290998407651,88.36631506304839,40.0,[1.],1.6336849369516102
48,192.7181119755531,87.5048566888715,40.0,[1.],2.4951433111285013
49,325.34190438070596,85.03539077500315,40.0,[1.],4.964609224996849
50,336.69556393728783,84.2985240642743,40.0,[1.],5.701475935725696
