,error_angle_mean,error_angle_median,error_angle_95,error_angle_std,n_tot,n,k,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers
0,1.9718838477434741,1.828793059443619,3.9267745905446745,1.0462933811297233,192,48,4,50,30.0,0.0,0.0,G,,False
0,9.865726599862208,9.107844246936288,19.559730770424437,5.268751356316649,6,2,3,50,30.0,0.0,0.0,G,,False
0,1.783237071981584,1.6605209000940278,3.481974145752729,0.9387517609803433,195,65,3,50,30.0,0.0,0.0,G,,False
0,2.650790733302927,2.441029492691918,5.1932418438469865,1.4114979547786524,66,33,2,50,30.0,0.0,0.0,G,,False
0,1.807244779650291,1.673711731544408,3.548339658060462,0.9660564438813655,232,58,4,50,30.0,0.0,0.0,G,,False
0,1.6646053836383294,1.5495785100018082,3.230958171836267,0.8745053975340519,120,120,1,50,30.0,0.0,0.0,G,,False
0,1.1946610841546308,1.1174282102329016,2.282839309420248,0.6082222009344764,241,241,1,50,30.0,0.0,0.0,G,,False
0,1.3336496900436339,1.2301902543505676,2.6094922622910524,0.7228353031661288,260,130,2,50,30.0,0.0,0.0,G,,False
0,1.197326851216406,1.137748322678,2.3543280562190607,0.6122968817753665,249,249,1,50,30.0,0.0,0.0,G,,False
0,6.20039683240359,5.803588420381949,12.111680711885294,3.230873393306984,15,5,3,50,30.0,0.0,0.0,G,,False
0,1.3373750623525646,1.2480628088056491,2.55816780430161,0.6958672976716889,268,134,2,50,30.0,0.0,0.0,G,,False
0,2.4931837636380556,2.305494450952807,5.035343558904232,1.3616391398530217,68,34,2,50,30.0,0.0,0.0,G,,False
0,1.1583662991361097,1.0807737412371097,2.2752937668301647,0.609143199383667,267,267,1,50,30.0,0.0,0.0,G,,False
0,2.2332610145662977,2.103817327949585,4.308844554068409,1.1499657244187604,245,35,7,50,30.0,0.0,0.0,G,,False
0,1.2936121559292424,1.2424383952214058,2.505354661399719,0.6732908463306536,207,207,1,50,30.0,0.0,0.0,G,,False
0,3.7750715903255485,3.5498362972819066,7.468925961372823,1.9883461538770557,84,12,7,50,30.0,0.0,0.0,G,,False
0,1.8752414718122652,1.7336554343197363,3.7340789789098237,1.0111365411701452,300,50,6,50,30.0,0.0,0.0,G,,False
0,1.1240147239005076,1.0687317588743497,2.151517498632746,0.586979603989336,288,288,1,50,30.0,0.0,0.0,G,,False
0,3.4073293649463285,3.2026836149497413,6.511337960176036,1.7780557855874874,64,16,4,50,30.0,0.0,0.0,G,,False
0,4.423014814241198,4.117773468583756,8.940024292778443,2.4099943700966615,15,15,1,50,30.0,0.0,0.0,G,,False
