,error_angle_mean,error_angle_median,error_angle_95,error_angle_std,n_tot,n,k,kappa_within_site,site_lat,site_long,outlier_rate,secular_method,kappa_secular,ignore_outliers
0,8.474607747217583,7.909684666159713,17.531512978611335,4.817876094859594,50,10,5,20,40,0.0,0.75,G,,True
0,23.129249464481774,20.891367958811742,49.98318892815614,13.631801180566818,50,50,1,80,50,0.0,0.75,G,,False
0,3.6297631504877437,3.362840343470431,6.936037779276475,1.8716525257549925,50,10,5,40,10,0.0,0.2,G,,True
0,11.47916106808572,10.440859047959684,23.46399939900492,6.540643820384567,50,50,1,90,80,0.0,0.5,G,,False
0,7.713254832705272,7.164898475129867,15.513600550024059,4.400179108883829,50,50,1,10,10,0.0,0.4,G,,False
0,13.670905864657225,12.753810526320464,27.44216932042902,7.5641489786947105,50,50,1,90,80,0.0,0.55,G,,False
0,2.9118519423952525,2.7241925212758815,5.862635755980279,1.543678111747659,50,50,1,70,50,0.0,0.0,G,,False
0,7.445765584912486,6.982657014752654,14.82013810659642,4.0326032891537755,50,10,5,60,80,0.0,0.30000000000000004,G,,True
0,5.5479095292578124,5.131937658427439,11.129762780801338,3.0856460600249593,50,50,1,70,70,0.0,0.2,G,,False
0,4.988524395473924,4.708833593156918,9.741286919006532,2.617920612511026,50,10,5,50,40,0.0,0.2,G,,True
0,7.880662210639713,7.307930290815918,16.336546233702485,4.5286270516847305,50,50,1,10,50,0.0,0.2,G,,False
0,6.424139285530512,5.964292160198468,12.957948414593522,3.495822830140924,50,10,5,10,30,0.0,0.35000000000000003,G,,True
0,5.971857786247381,5.350520439853781,12.752389855424914,3.522308120431948,50,50,1,90,20,0.0,0.35000000000000003,G,,False
0,9.89815989237228,9.11086196488575,20.002685796079962,5.601257106684006,50,50,1,60,80,0.0,0.4,G,,False
0,5.772893851600599,5.300271126359874,11.467677423854797,3.2847052223592255,50,10,5,20,10,0.0,0.75,G,,True
0,5.4475939537534614,5.189435946214026,10.363184872156175,2.838358770287243,50,10,5,20,20,0.0,0.6000000000000001,G,,True
0,3.707529986548496,3.4689687064078,7.323884944982226,1.933801301331796,50,50,1,40,60,0.0,0.0,G,,False
0,5.095796112619222,4.788229860432217,9.980879602260853,2.795028439787505,50,10,5,10,20,0.0,0.1,G,,True
0,6.5701940054769254,6.111207024740196,12.960622768811685,3.4329640168444113,50,10,5,50,60,0.0,0.35000000000000003,G,,True
0,4.676757035817632,4.41181635140763,9.013130158992734,2.409442089407733,50,10,5,100,40,0.0,0.2,G,,True
0,6.992704089700894,6.527422953514957,13.48981072776801,3.560972740614073,50,10,5,100,60,0.0,0.7000000000000001,G,,True
0,6.421926694649646,6.007710711395397,12.981072827875007,3.602141128473365,50,50,1,70,50,0.0,0.30000000000000004,G,,False
0,3.503699832916074,3.310378462802376,6.796509096235941,1.8295487432728559,50,10,5,70,0,0.0,0.45,G,,True
0,26.878087436891953,24.652568669437848,55.790178181504736,15.273034398960522,50,50,1,40,80,0.0,0.75,G,,False
0,4.372439607428201,3.9919588506995396,8.858757235134622,2.4050464056949523,50,10,5,90,30,0.0,0.45,G,,True
0,6.012548593777521,5.547980875095028,11.490105684013937,3.1088947702141447,50,10,5,40,50,0.0,0.4,G,,True
0,3.6568817159722595,3.351212260775,7.28227618414049,1.9322318870880926,50,10,5,40,0,0.0,0.35000000000000003,G,,True
0,11.831646804910445,11.09687702280008,23.293526441784504,6.288560511255541,50,10,5,10,50,0.0,0.7000000000000001,G,,True
0,6.580650823199541,6.207771906965988,13.061367917781133,3.3927052762824337,50,10,5,90,70,0.0,0.2,G,,True
0,4.688559735315648,4.298658563203915,9.595448539031963,2.6330630856728394,50,10,5,20,0,0.0,0.6000000000000001,G,,True
0,3.6295894190189966,3.275178352147826,7.3443502073566975,2.0305197039849294,50,50,1,90,80,0.0,0.0,G,,False
0,7.835757097305083,7.1070608787111595,15.58178614216862,4.271797533589038,50,10,5,50,80,0.0,0.35000000000000003,G,,True
0,6.8677140618727,6.570769541382312,13.51105978181104,3.6285792588297885,50,10,5,60,60,0.0,0.55,G,,True
0,7.433775704118023,6.861787686031072,14.730342651393848,4.065644596423034,50,50,1,30,80,0.0,0.25,G,,False
0,6.400987137704301,6.007392616333632,12.361662972841941,3.305307409476326,50,10,5,70,60,0.0,0.45,G,,True
0,5.187879375569948,4.683941679420883,10.640546298245432,2.9528755449811657,50,10,5,70,30,0.0,0.7000000000000001,G,,True
0,14.815337147102252,12.869078847340859,31.737844876468586,9.789928620791454,50,50,1,40,20,0.0,0.65,G,,False
0,15.139616988405203,13.208846390105265,33.47904825411238,9.433996916923324,50,50,1,60,30,0.0,0.65,G,,False
0,3.3643855246714267,3.087242535124176,6.5936183704155225,1.8231052414075377,50,50,1,90,70,0.0,0.0,G,,False
0,8.505322668250672,7.934150125247278,16.791656143449668,4.589229500457306,50,50,1,20,70,0.0,0.30000000000000004,G,,False
0,5.420609962841976,5.0653056602818936,10.699634869611998,2.8666536343531566,50,10,5,70,40,0.0,0.55,G,,True
0,7.549992070622693,6.739330573387683,15.730062939444874,4.428807087791619,50,50,1,10,20,0.0,0.35000000000000003,G,,False
0,9.388435486417096,8.39346403777079,20.17305627800524,5.525099878367903,50,50,1,20,10,0.0,0.5,G,,False
0,3.969472686519233,3.7833100181127293,7.721707519247936,2.113923907265071,50,10,5,60,0,0.0,0.65,G,,True
0,7.297950534805945,6.707841220327971,14.22599888586685,3.7460031520336465,50,10,5,60,80,0.0,0.05,G,,True
0,4.651833084457863,4.2126738400325365,9.581461507041569,2.6726719695808585,50,50,1,20,0,0.0,0.25,G,,False
0,3.500105550523359,3.3113382966976275,6.912109424992603,1.9061239529865837,50,10,5,50,0,0.0,0.35000000000000003,G,,True
0,24.466706039646812,22.046098819588302,49.49974290780947,14.970212241557265,50,50,1,10,50,0.0,0.7000000000000001,G,,False
0,3.948445822774817,3.690092864814517,7.773884345121675,2.123479750347124,50,10,5,50,0,0.0,0.6000000000000001,G,,True
0,19.047653395207735,16.398698244450074,43.875073519481624,12.507093157774861,50,50,1,80,40,0.0,0.7000000000000001,G,,False
0,17.214653827077527,15.189562576084157,39.61720889224288,11.163639012763497,50,50,1,100,10,0.0,0.7000000000000001,G,,False
0,5.604378090944559,5.225521097537751,11.004847386899657,2.9257369075763537,50,10,5,80,40,0.0,0.65,G,,True
0,3.9641959644501514,3.6666211516756846,7.678631781500126,2.10893423373164,50,10,5,70,20,0.0,0.4,G,,True
0,4.258707072672994,3.999298757459812,8.720490406248883,2.294481629526102,50,50,1,60,60,0.0,0.1,G,,False
0,4.182012506143752,3.8477498953091356,8.256687566476565,2.242675285263563,50,10,5,70,10,0.0,0.7000000000000001,G,,True
0,3.2366537664373745,2.954987202273813,6.620253897038629,1.794561849709777,50,50,1,60,0,0.0,0.15000000000000002,G,,False
0,6.930090859115544,6.496531204616566,13.486181640893594,3.6660482919819173,50,10,5,90,60,0.0,0.65,G,,True
0,9.607481801154309,8.99575459147104,18.863088806301178,5.070104801305954,50,10,5,10,80,0.0,0.0,G,,True
0,7.943340959959766,7.369714515907482,16.18618790474824,4.212427624046953,50,50,1,70,40,0.0,0.4,G,,False
0,4.930621532128987,4.667202750387361,9.161288837959681,2.4832545174890823,50,50,1,100,70,0.0,0.15000000000000002,G,,False
0,5.041882860032103,4.737240045223437,9.921532050014797,2.6954058934046707,50,50,1,20,70,0.0,0.0,G,,False
0,5.7181877109282455,5.393459601066816,10.85649515862896,2.926726292081924,50,10,5,60,50,0.0,0.30000000000000004,G,,True
0,2.5854248460470366,2.3401403795929454,5.388507617183798,1.4929632575358813,50,50,1,90,0,0.0,0.1,G,,False
0,6.1124310496448615,5.653001583150171,11.787776818494965,3.2144127192941254,50,10,5,50,50,0.0,0.5,G,,True
0,7.944908838437233,7.5793914576288515,15.156523159739525,4.065689045016647,50,10,5,30,80,0.0,0.15000000000000002,G,,True
0,12.152578071210185,10.55573616874814,26.100521038112788,7.704390370677324,50,50,1,40,20,0.0,0.6000000000000001,G,,False
0,6.1043597924437325,5.706835676721305,11.767202772499333,3.1866387047413114,50,10,5,90,60,0.0,0.25,G,,True
0,9.057741526562866,8.51161055888673,17.90973672053668,4.913060685187866,50,10,5,40,70,0.0,0.7000000000000001,G,,True
0,10.195283513455703,9.153059553229049,21.40498942605039,6.263548840318373,50,50,1,40,10,0.0,0.55,G,,False
0,5.848106260513429,5.5196375017545165,11.654938722766955,3.1011245346290677,50,50,1,20,70,0.0,0.1,G,,False
0,8.230897180643657,7.7250799485895385,15.990955512398255,4.336671988082254,50,10,5,10,60,0.0,0.1,G,,True
0,4.313922040452348,4.02019293597936,8.709351367428875,2.336956485299419,50,10,5,80,0,0.0,0.75,G,,True
0,8.356117178135824,7.63541289699031,18.519299408140753,5.120848180753963,50,50,1,40,0,0.0,0.5,G,,False
0,9.468357045850784,8.857981341187454,17.971784440400818,4.85770370228954,50,10,5,60,80,0.0,0.7000000000000001,G,,True
0,7.175202230228276,6.770085823250774,14.516504145826934,3.769480097965214,50,10,5,70,80,0.0,0.0,G,,True
0,5.539578549539476,5.291983112186358,10.644820340133242,2.858250122612282,50,10,5,80,50,0.0,0.35000000000000003,G,,True
0,9.109491274745553,8.186210579195404,19.097445706175613,5.260685027075226,50,10,5,10,30,0.0,0.7000000000000001,G,,True
0,6.76646456108945,6.310282604715702,13.437325944661895,3.605919908162762,50,10,5,60,70,0.0,0.1,G,,True
0,7.5141621903770375,6.789818276016064,14.980537828773736,4.080077371844787,50,10,5,50,70,0.0,0.55,G,,True
0,3.260574276978411,3.0928438331317665,6.360471141562828,1.7409532959127858,50,10,5,80,0,0.0,0.15000000000000002,G,,True
0,5.012186916328383,4.687165388997208,10.290931799863072,2.6775347214339074,50,50,1,60,60,0.0,0.15000000000000002,G,,False
0,8.448559210695747,7.962962605791354,16.31691709194021,4.400106114282348,50,10,5,40,70,0.0,0.65,G,,True
0,25.626993058110113,23.3472926682984,52.426273572544936,15.277332460057384,50,50,1,80,60,0.0,0.75,G,,False
0,6.558382922033408,6.142115838804067,12.609230303646342,3.45836346483558,50,10,5,60,50,0.0,0.65,G,,True
0,4.238673995995564,4.0024231706291715,7.847945380641318,2.094088519300829,50,10,5,100,30,0.0,0.25,G,,True
0,18.058094750927427,16.09657250906527,37.99006664788718,10.73752976654137,50,50,1,30,60,0.0,0.65,G,,False
