,kappa,std_angular
0,1.0,77.08083874430415
1,1.0473708979594496,76.86018386394053
2,1.0969857978923836,76.10153063898561
3,1.1489510001873091,74.96290405005902
4,1.2033778407775895,74.00809946008164
5,1.2603829296797275,73.19238258624844
6,1.3200884008314178,71.49949336360596
7,1.3826221737646558,70.59359797474767
8,1.4481182276745337,69.44975317029416
9,1.516716888470923,68.37120798074831
10,1.5885651294280527,67.32605509052325
11,1.6638168860761289,65.6847058236089
12,1.7426333860096501,64.92996748725096
13,1.8251834943190435,63.52681362142165
14,1.9116440753857022,61.98106016295002
15,2.0022003718155847,61.29860667811448
16,2.0970464013232326,59.63210697092966
17,2.1963853724165463,58.63173001714663
18,2.3004301197729182,57.33273856126995
19,2.409403560239525,55.882491313121875
20,2.5235391704347663,54.205511661867455
21,2.643081486974105,53.21998188008295
22,2.768286630392066,51.930572415534705
23,2.899422853882877,50.28047220769045
24,3.036771118035458,49.4398291780309
25,3.180625692794119,48.098685008346735
26,3.3312947879346737,47.065843213695466
27,3.489101213406773,45.95910370088882
28,3.6543830709572562,44.93402043536937
29,3.827494478516312,43.637053172718964
30,4.008806328898466,42.653058534176544
31,4.19870708444391,41.13409192606226
32,4.39760360930272,40.38143006961658
33,4.605922041145106,39.34940111585753
34,4.82410870416537,38.40494592620478
35,5.052631065335681,37.27401868723877
36,5.291978735958442,36.389675168274024
37,5.542664520663106,35.72961865995991
38,5.8052255160948985,34.66902392606919
39,6.080224261649424,34.23634928042815
40,6.368249944718588,33.188859817108025
41,6.669919663030122,32.28284136165807
42,6.985879746785248,31.476689897579888
43,7.316807143427196,30.670191137614797
44,7.663410868007459,30.163912698519898
45,8.026433522257175,29.531615498611355
46,8.406652885618325,28.562760353431578
47,8.804883581643463,27.94093234843213
48,9.221978823334327,27.154791080616853
49,9.658832241158704,26.63860187627571
50,10.11637979766207,25.911853823321504
51,10.59560179277616,25.32984682769134
52,11.097524964120721,24.709680452848954
53,11.623224686798524,24.109111969555734
54,12.173827277396613,23.48645562110055
55,12.750512407130135,23.0578043751219
56,13.354515629298987,22.501449697036666
57,13.987131026472387,21.94321388231278
58,14.649713983072855,21.45814503441839
59,15.343684089300124,20.94989769012743
60,16.070528182616393,20.328325385099852
61,16.831803533309568,19.804217706245524
62,17.62914118095948,19.50635271363755
63,18.464249428955434,19.17739330636404
64,19.33891750455231,18.590041076051985
65,20.255019392306675,18.158612487734747
66,21.2145178491063,17.813458595740336
67,22.21946860939524,17.287559186906915
68,23.272024789604085,16.963363007239817
69,24.374441501222204,16.515916840932285
70,25.52908068239518,16.182637937200983
71,26.738416158399467,15.68926712791752
72,28.00503894183631,15.412516234808558
73,29.331662783900438,15.008654884022299
74,30.721129988617577,14.676033796078102
75,32.17641750250737,14.434795787048639
76,33.700643292719285,13.997920100011449
77,35.2970730273065,13.756977080785651
78,36.96912707195028,13.405835574709139
79,38.72038781812555,13.08893756777623
80,40.5546073584083,12.79998372227253
81,42.47571552536898,12.468851364283246
82,44.487828311275855,12.213945837299592
83,46.59525668664682,11.940492874758455
84,48.80251583654431,11.612135290576873
85,51.11433483440168,11.411329660638096
86,53.53566677410724,11.071045510956349
87,56.07169938205458,10.862537904702764
88,58.72786613189483,10.588658447927079
89,61.50985788580501,10.371727659589808
90,64.42363508721374,10.095350139690074
91,67.47544053110693,9.918601064591659
92,70.67181273927491,9.641879659812743
93,74.01959996915645,9.411002424612064
94,77.5259748862946,9.219478903588733
95,81.19844993184013,9.002670894646215
96,85.04489341802677,8.780186034975586
97,89.0735463861044,8.618861115268873
98,93.29304026284686,8.342032654146537
99,97.71241535346496,8.262757549578165
100,102.34114021054528,8.01052672045957
101,107.18913192051275,7.86306963064573
102,112.26677735108136,7.702220872470152
103,117.5849554052157,7.431118857350062
104,123.15506032928262,7.295951988311987
105,128.9890261253308,7.136169224230965
106,135.09935211980266,6.975581989703705
107,141.4991297434576,6.7965993313231765
108,148.20207057988586,6.661300746342206
109,155.2225357427048,6.5521683774151
110,162.5755666443795,6.304621650429897
111,170.27691722258996,6.212215856146932
112,178.34308769319094,6.077519247671277
113,186.79135990207828,5.932599393398525
114,195.63983435170647,5.758033848041142
115,204.90746898158483,5.656582277447562
116,214.61411978584036,5.571440313858143
117,224.78058335487253,5.387641445563713
118,235.4286414322418,5.309354500191196
119,246.5811075822604,5.187274295832125
120,258.2618760682677,5.018929397137125
121,270.49597304631345,4.911831575563422
122,283.3096101839324,4.8020904907637965
123,296.73024081888695,4.6960099078120425
124,310.7866187782014,4.597302407359688
125,325.508859983506,4.4677687984622425
126,340.9285069746811,4.381846219243091
127,357.07859649004627,4.285091040932255
128,373.9937302478798,4.203207267476342
129,391.71014908092604,4.067315572607174
130,410.26581058271944,4.001846463256734
131,429.70047043208393,3.9048853395443657
132,450.05576757004974,3.832349388511525
133,471.3753134116724,3.7502265819399008
134,493.7047852839004,3.660735274958838
135,517.092024289676,3.5746585043465178
136,541.5871378079471,3.487292780677344
137,567.2426068491977,3.419502429642146
138,594.1133984965034,3.336928645207437
139,622.2570836730231,3.2375907721312043
140,651.7339604882427,3.1770590190751995
141,682.6071834272386,3.1039284083973073
142,714.9428986597577,3.0213865378640077
143,748.8103857590023,2.9775787006347665
144,784.2822061337682,2.885556640417679
145,821.434358491943,2.8345003979149377
146,860.34644166845,2.7483968448802902
147,901.1018251665018,2.688186571855371
148,943.7878277775382,2.643372411693656
149,988.4959046625586,2.577278206899949
150,1035.3218432956626,2.508654852592286
151,1084.3659686896108,2.4618056736567278
152,1135.7333583431052,2.422342625205349
